Epoch: [2 | 50] LR: 0.001000
epoch = 1, loss = 0.977882981300354, top5_accuracy = 90.625, top1_accuracy = 71.875
epoch = 129, loss = 0.8127501297366712, top5_accuracy = 94.79166666666667, top1_accuracy = 80.74127906976744
epoch = 130, loss = 0.8153270959854126, top5_accuracy = 94.75961538461539, top1_accuracy = 80.69711538461539
epoch = 131, loss = 0.8144808862045521, top5_accuracy = 94.75190839694656, top1_accuracy = 80.72519083969466
epoch = 132, loss = 0.8182716216101791, top5_accuracy = 94.6969696969697, top1_accuracy = 80.68181818181819
epoch = 133, loss = 0.8197937002755645, top5_accuracy = 94.71334586466165, top1_accuracy = 80.6390977443609
epoch = 134, loss = 0.822531855818051, top5_accuracy = 94.65951492537313, top1_accuracy = 80.55037313432835
epoch = 135, loss = 0.8246610977031567, top5_accuracy = 94.62962962962963, top1_accuracy = 80.46296296296296
epoch = 136, loss = 0.8243745679364485, top5_accuracy = 94.64613970588235, top1_accuracy = 80.46875
epoch = 137, loss = 0.8227256549535876, top5_accuracy = 94.68521897810218, top1_accuracy = 80.47445255474453
epoch = 138, loss = 0.8220828305120054, top5_accuracy = 94.70108695652173, top1_accuracy = 80.54800724637681
epoch = 139, loss = 0.822997585475016, top5_accuracy = 94.67176258992805, top1_accuracy = 80.55305755395683
epoch = 140, loss = 0.82258169565882, top5_accuracy = 94.66517857142857, top1_accuracy = 80.53571428571429
epoch = 141, loss = 0.8204200031064081, top5_accuracy = 94.70301418439716, top1_accuracy = 80.62943262411348
epoch = 142, loss = 0.8198234405316097, top5_accuracy = 94.74031690140845, top1_accuracy = 80.56778169014085
epoch = 143, loss = 0.8211509297777723, top5_accuracy = 94.73339160839161, top1_accuracy = 80.57255244755245
epoch = 144, loss = 0.8197050856219398, top5_accuracy = 94.7265625, top1_accuracy = 80.59895833333333
epoch = 145, loss = 0.817215124903054, top5_accuracy = 94.76293103448276, top1_accuracy = 80.66810344827586
epoch = 146, loss = 0.8190481952608448, top5_accuracy = 94.71318493150685, top1_accuracy = 80.6292808219178
epoch = 147, loss = 0.8207152242563209, top5_accuracy = 94.64285714285714, top1_accuracy = 80.59098639455782
epoch = 148, loss = 0.8198090662827363, top5_accuracy = 94.6579391891892, top1_accuracy = 80.5954391891892
epoch = 149, loss = 0.819076018845475, top5_accuracy = 94.67281879194631, top1_accuracy = 80.64177852348993
epoch = 150, loss = 0.8204422704378764, top5_accuracy = 94.64583333333333, top1_accuracy = 80.60416666666667
epoch = 151, loss = 0.8179548222892332, top5_accuracy = 94.68129139072848, top1_accuracy = 80.6705298013245
epoch = 152, loss = 0.8186787055119088, top5_accuracy = 94.65460526315789, top1_accuracy = 80.65378289473684
epoch = 153, loss = 0.8202685376787497, top5_accuracy = 94.62826797385621, top1_accuracy = 80.59640522875817
epoch = 154, loss = 0.8188001047094147, top5_accuracy = 94.66314935064935, top1_accuracy = 80.62094155844156
epoch = 155, loss = 0.8195890720813505, top5_accuracy = 94.63709677419355, top1_accuracy = 80.60483870967742
epoch = 156, loss = 0.8207775730735216, top5_accuracy = 94.63141025641026, top1_accuracy = 80.52884615384616
epoch = 157, loss = 0.8210268694504052, top5_accuracy = 94.64570063694268, top1_accuracy = 80.51353503184713
epoch = 158, loss = 0.822701210273972, top5_accuracy = 94.6004746835443, top1_accuracy = 80.47863924050633
epoch = 159, loss = 0.8250390191872915, top5_accuracy = 94.5754716981132, top1_accuracy = 80.44418238993711
epoch = 160, loss = 0.8246475039049983, top5_accuracy = 94.58984375, top1_accuracy = 80.41015625
epoch = 161, loss = 0.8258648346299711, top5_accuracy = 94.56521739130434, top1_accuracy = 80.41537267080746
epoch = 162, loss = 0.8264034178889827, top5_accuracy = 94.56018518518519, top1_accuracy = 80.36265432098766
epoch = 163, loss = 0.8271702394529354, top5_accuracy = 94.55521472392638, top1_accuracy = 80.27223926380368
epoch = 164, loss = 0.8267570397839313, top5_accuracy = 94.53125, top1_accuracy = 80.29725609756098
epoch = 165, loss = 0.8275683917782524, top5_accuracy = 94.54545454545455, top1_accuracy = 80.24621212121212
epoch = 166, loss = 0.8269110122718006, top5_accuracy = 94.57831325301204, top1_accuracy = 80.2710843373494
epoch = 167, loss = 0.825676996015503, top5_accuracy = 94.57335329341318, top1_accuracy = 80.33308383233533
epoch = 168, loss = 0.8248541846516586, top5_accuracy = 94.56845238095238, top1_accuracy = 80.35714285714286
epoch = 169, loss = 0.8241908573187314, top5_accuracy = 94.56360946745562, top1_accuracy = 80.36242603550296
epoch = 170, loss = 0.8246766719747992, top5_accuracy = 94.55882352941177, top1_accuracy = 80.40441176470588
epoch = 171, loss = 0.8234210253110406, top5_accuracy = 94.57236842105263, top1_accuracy = 80.4641812865497
epoch = 172, loss = 0.8260242517950923, top5_accuracy = 94.54941860465117, top1_accuracy = 80.39607558139535
epoch = 173, loss = 0.8255580861788954, top5_accuracy = 94.58092485549133, top1_accuracy = 80.36488439306359
