
Epoch: [1 | 50] LR: 0.001000
epoch = 1, loss = 5.442826271057129, top5_accuracy = 6.25, top1_accuracy = 3.125
epoch = 143, loss = 4.865750752962553, top5_accuracy = 20.41083916083916, top1_accuracy = 9.549825174825175
epoch = 144, loss = 4.862251354588403, top5_accuracy = 20.55121527777778, top1_accuracy = 9.54861111111111
epoch = 145, loss = 4.858256853037867, top5_accuracy = 20.689655172413794, top1_accuracy = 9.59051724137931
epoch = 146, loss = 4.855648370638286, top5_accuracy = 20.804794520547944, top1_accuracy = 9.58904109589041
epoch = 147, loss = 4.851429193198276, top5_accuracy = 20.854591836734695, top1_accuracy = 9.651360544217686
epoch = 148, loss = 4.848029832582216, top5_accuracy = 20.945945945945947, top1_accuracy = 9.670608108108109
epoch = 149, loss = 4.846510365505346, top5_accuracy = 21.01510067114094, top1_accuracy = 9.668624161073826
epoch = 150, loss = 4.843662045796712, top5_accuracy = 21.125, top1_accuracy = 9.666666666666666
epoch = 151, loss = 4.840549661623721, top5_accuracy = 21.212748344370862, top1_accuracy = 9.706125827814569
epoch = 152, loss = 4.836968409387689, top5_accuracy = 21.258223684210527, top1_accuracy = 9.724506578947368
epoch = 153, loss = 4.833791477228302, top5_accuracy = 21.36437908496732, top1_accuracy = 9.722222222222221
epoch = 154, loss = 4.829856398817781, top5_accuracy = 21.489448051948052, top1_accuracy = 9.74025974025974
epoch = 155, loss = 4.825540434929632, top5_accuracy = 21.612903225806452, top1_accuracy = 9.778225806451612
epoch = 156, loss = 4.823391883801191, top5_accuracy = 21.71474358974359, top1_accuracy = 9.795673076923077
epoch = 157, loss = 4.819370515786918, top5_accuracy = 21.83519108280255, top1_accuracy = 9.8328025477707
epoch = 158, loss = 4.816574123841297, top5_accuracy = 21.934335443037973, top1_accuracy = 9.849683544303797
epoch = 159, loss = 4.814636320438025, top5_accuracy = 21.992924528301888, top1_accuracy = 9.886006289308176
epoch = 160, loss = 4.8108880579471585, top5_accuracy = 22.08984375, top1_accuracy = 9.90234375
epoch = 161, loss = 4.806444861133646, top5_accuracy = 22.243788819875775, top1_accuracy = 9.976708074534162
epoch = 162, loss = 4.803092211852839, top5_accuracy = 22.376543209876544, top1_accuracy = 9.992283950617283
epoch = 163, loss = 4.799823758060946, top5_accuracy = 22.507668711656443, top1_accuracy = 10.04601226993865
epoch = 164, loss = 4.795871795677558, top5_accuracy = 22.63719512195122, top1_accuracy = 10.099085365853659
epoch = 165, loss = 4.792758025545062, top5_accuracy = 22.765151515151516, top1_accuracy = 10.094696969696969
epoch = 166, loss = 4.7898601853703875, top5_accuracy = 22.853915662650603, top1_accuracy = 10.090361445783133
epoch = 167, loss = 4.788690215813186, top5_accuracy = 22.904191616766468, top1_accuracy = 10.086077844311378
epoch = 168, loss = 4.7851274865014215, top5_accuracy = 23.00967261904762, top1_accuracy = 10.100446428571429
epoch = 169, loss = 4.782302393715763, top5_accuracy = 23.132396449704142, top1_accuracy = 10.133136094674557
epoch = 170, loss = 4.7793041874380675, top5_accuracy = 23.216911764705884, top1_accuracy = 10.183823529411764
epoch = 171, loss = 4.776897157144825, top5_accuracy = 23.24561403508772, top1_accuracy = 10.197368421052632
epoch = 172, loss = 4.772022707517757, top5_accuracy = 23.419331395348838, top1_accuracy = 10.265261627906977
epoch = 173, loss = 4.768820371241928, top5_accuracy = 23.51878612716763, top1_accuracy = 10.314306358381502
epoch = 174, loss = 4.767028797631976, top5_accuracy = 23.58117816091954, top1_accuracy = 10.344827586206897
epoch = 175, loss = 4.7631709725516185, top5_accuracy = 23.660714285714285, top1_accuracy = 10.375
epoch = 176, loss = 4.760438477451151, top5_accuracy = 23.757102272727273, top1_accuracy = 10.387073863636363
epoch = 177, loss = 4.757642374200336, top5_accuracy = 23.8524011299435, top1_accuracy = 10.38135593220339
epoch = 178, loss = 4.754500983806139, top5_accuracy = 23.911516853932586, top1_accuracy = 10.410814606741573
epoch = 179, loss = 4.752206480036901, top5_accuracy = 23.969972067039105, top1_accuracy = 10.422486033519553
epoch = 180, loss = 4.749603539043003, top5_accuracy = 24.010416666666668, top1_accuracy = 10.45138888888889
epoch = 181, loss = 4.7463168650042284, top5_accuracy = 24.10220994475138, top1_accuracy = 10.51450276243094
epoch = 182, loss = 4.741686742384355, top5_accuracy = 24.296016483516482, top1_accuracy = 10.576923076923077
epoch = 183, loss = 4.739383747017449, top5_accuracy = 24.334016393442624, top1_accuracy = 10.587431693989071
epoch = 184, loss = 4.736596255198769, top5_accuracy = 24.405570652173914, top1_accuracy = 10.614809782608695
epoch = 185, loss = 4.732796055561788, top5_accuracy = 24.54391891891892, top1_accuracy = 10.625
epoch = 186, loss = 4.730837204123056, top5_accuracy = 24.596774193548388, top1_accuracy = 10.63508064516129
epoch = 187, loss = 4.728757366139621, top5_accuracy = 24.682486631016044, top1_accuracy = 10.645053475935828
epoch = 188, loss = 4.726482774348969, top5_accuracy = 24.783909574468087, top1_accuracy = 10.638297872340425
epoch = 189, loss = 4.724386850992839, top5_accuracy = 24.818121693121693, top1_accuracy = 10.631613756613756
epoch = 190, loss = 4.720776660818803, top5_accuracy = 24.950657894736842, top1_accuracy = 10.69078947368421
epoch = 191, loss = 4.717247076683644, top5_accuracy = 25.06544502617801, top1_accuracy = 10.716623036649215
epoch = 192, loss = 4.714807974795501, top5_accuracy = 25.1953125, top1_accuracy = 10.7421875
epoch = 193, loss = 4.712052323039949, top5_accuracy = 25.307642487046632, top1_accuracy = 10.799870466321243
epoch = 194, loss = 4.710378123312881, top5_accuracy = 25.35438144329897, top1_accuracy = 10.792525773195877
epoch = 195, loss = 4.7068675603622046, top5_accuracy = 25.432692307692307, top1_accuracy = 10.833333333333334
epoch = 196, loss = 4.703861073571808, top5_accuracy = 25.558035714285715, top1_accuracy = 10.857780612244898
epoch = 197, loss = 4.69983362183353, top5_accuracy = 25.666243654822335, top1_accuracy = 10.913705583756345
epoch = 198, loss = 4.696118865350281, top5_accuracy = 25.789141414141415, top1_accuracy = 10.984848484848484
epoch = 199, loss = 4.694155832031863, top5_accuracy = 25.816582914572866, top1_accuracy = 10.97675879396985
epoch = 200, loss = 4.691752445697785, top5_accuracy = 25.84375, top1_accuracy = 11.0
epoch = 201, loss = 4.6893992091885845, top5_accuracy = 25.90174129353234, top1_accuracy = 11.023009950248756
epoch = 202, loss = 4.686515166027712, top5_accuracy = 26.005569306930692, top1_accuracy = 11.076732673267326
epoch = 203, loss = 4.684209088386573, top5_accuracy = 26.123768472906406, top1_accuracy = 11.129926108374384
epoch = 204, loss = 4.679281141243729, top5_accuracy = 26.348039215686274, top1_accuracy = 11.213235294117647
epoch = 205, loss = 4.676578651986471, top5_accuracy = 26.432926829268293, top1_accuracy = 11.25
epoch = 206, loss = 4.6744790586453036, top5_accuracy = 26.486650485436893, top1_accuracy = 11.27123786407767
epoch = 207, loss = 4.672004983045053, top5_accuracy = 26.53985507246377, top1_accuracy = 11.33756038647343
epoch = 208, loss = 4.667862445116043, top5_accuracy = 26.682692307692307, top1_accuracy = 11.403245192307692
epoch = 209, loss = 4.66473405098801, top5_accuracy = 26.779306220095695, top1_accuracy = 11.453349282296651
epoch = 210, loss = 4.6619044826144265, top5_accuracy = 26.889880952380953, top1_accuracy = 11.488095238095237
epoch = 211, loss = 4.658507468011142, top5_accuracy = 26.99940758293839, top1_accuracy = 11.522511848341232
epoch = 212, loss = 4.654904890735194, top5_accuracy = 27.078419811320753, top1_accuracy = 11.556603773584905
epoch = 213, loss = 4.651751073873099, top5_accuracy = 27.171361502347416, top1_accuracy = 11.546361502347418
epoch = 214, loss = 4.648337376451938, top5_accuracy = 27.321845794392523, top1_accuracy = 11.667640186915888
epoch = 215, loss = 4.645509133228036, top5_accuracy = 27.36918604651163, top1_accuracy = 11.686046511627907
epoch = 216, loss = 4.642777307165994, top5_accuracy = 27.430555555555557, top1_accuracy = 11.733217592592593
epoch = 217, loss = 4.638598100380963, top5_accuracy = 27.592165898617512, top1_accuracy = 11.808755760368664
epoch = 218, loss = 4.636559887763557, top5_accuracy = 27.680619266055047, top1_accuracy = 11.840596330275229
epoch = 219, loss = 4.633749203050518, top5_accuracy = 27.796803652968038, top1_accuracy = 11.857876712328768
epoch = 220, loss = 4.6294498226859355, top5_accuracy = 27.94034090909091, top1_accuracy = 11.931818181818182
epoch = 221, loss = 4.626204747420091, top5_accuracy = 28.02601809954751, top1_accuracy = 11.97680995475113
epoch = 222, loss = 4.622477250056224, top5_accuracy = 28.181306306306308, top1_accuracy = 12.04954954954955
epoch = 223, loss = 4.6196500463870604, top5_accuracy = 28.307174887892376, top1_accuracy = 12.093609865470851
epoch = 224, loss = 4.616605381880488, top5_accuracy = 28.41796875, top1_accuracy = 12.137276785714286
epoch = 225, loss = 4.611646114985148, top5_accuracy = 28.59722222222222, top1_accuracy = 12.23611111111111
epoch = 226, loss = 4.609096559803043, top5_accuracy = 28.650442477876105, top1_accuracy = 12.237278761061948
epoch = 227, loss = 4.606097972340521, top5_accuracy = 28.758259911894275, top1_accuracy = 12.293502202643172
epoch = 228, loss = 4.602324762888122, top5_accuracy = 28.878837719298247, top1_accuracy = 12.390350877192983
